dtime|title|content|location|source|lastmod
2011/01/15|International Workshop and Grand Opening|Fee: $175|Dunedin, FL|TTCS USA - Workshop Schedule|2011/09/18
2011/02/05|Chinese New Year's Banquet|Fee: $35|Toronto, Canada|TTCS USA - Workshop Schedule|2011/09/18
2011/02/16|Intensive - Tai Chi|Fee: $25\nTeam: Carmen Capilla & Sean Dennison|St. Petersburg|Tampa Bay Area Events|2011/09/18
2011/02/17|Intensive - Tai Chi|Fee: $25\nTeam: Carmen Capilla & Sean Dennison|Dunedin|Tampa Bay Area Events|2011/09/18
2011/02/19|Tai Chi Workshop|Fee: $175|Columbus, OH|TTCS USA - Workshop Schedule|2011/09/18
2011/02/20|Chinese New Year Banquet|Fee: $25|St Peteresburg|Tampa Bay Area Events|2011/09/18
2011/03/05|Set Leader Module|Fee: Free|St Petersburg|Tampa Bay Area Events|2011/09/18
2011/03/09|International Instructor Workshop|Fee: $500 week, $175 weekend|Tallahassee, FL|TTCS USA - Workshop Schedule|2011/09/18
2011/03/09|International Instructor Workshop|Fee: $500|Tallahassee|Tampa Bay Area Events|2011/09/18
2011/03/12|Chinese New Year's Banquet|Fee: $30|Tallahassee, FL|TTCS USA - Workshop Schedule|2011/09/18
2011/03/12|New Year Banquet|Fee: $25|Tallahassee|Tampa Bay Area Events|2011/09/18
2011/03/22|Bye-Bye Snowbirds Luncheon|Fee: $25 + lunch\nTeam: Joe Crossfield/Sue Johnson|Dunedin|Tampa Bay Area Events|2011/09/18
2011/04/09|Beginning Instructor Module|Fee: $25|Sarasota|Tampa Bay Area Events|2011/09/18
2011/04/21|Pre-Graduation Pot Luck and Intensive|Fee: $25\nTeam: Sean Dennison|St Petersburg|Tampa Bay Area Events|2011/09/18
2011/04/29|Tai Chi Workshop|Fee: $175|Raleigh, NC|TTCS USA - Workshop Schedule|2011/09/18
2011/05/01|Mother's Day Banquet||Sarasota|Tampa Bay Area Events|2011/09/18
2011/05/14|Tai Chi Intensive|Fee: $25\nTeam: Mike Taylor/Debra Farr|Brandon|Tampa Bay Area Events|2011/09/18
2011/06/04|Lok Hup Workshop and Chang San Feng Banquet|Fee: $300|Brandon|Tampa Bay Area Events|2011/09/18
2011/06/25|International Tai Chi Workshop, 25th/1st Anniversary|Fee: $175|Boulder, CO|TTCS USA - Workshop Schedule|2011/09/18
2011/07/09|Tai Chi Workshop|Fee: $175|Ithaca, NY|TTCS USA - Workshop Schedule|2011/09/18
2011/07/16|Tai Chi Workshop, Grand Opening, 20th Anniversary|Fee: $175|Fairbanks, AK|TTCS USA - Workshop Schedule|2011/09/18
2011/07/16|Intensive - Tai Chi|Fee: $25\nTeam: Tom McAlexander/Frank Duffy|Sarasota|Tampa Bay Area Events|2011/09/18
2011/08/28|Instructor Intensive|Fee: $25\nTeam: Pegoty Packman/Mary Crossfield/Debbie Gates|St Petersburg|Tampa Bay Area Events|2011/09/18
2011/09/03|Cleaning Day!|||Branch Events|2011/09/05
2011/09/10|Tai Chi Workshop, 20th Anniversary|Fee: $175|New England|TTCS USA - Workshop Schedule|2011/09/18
2011/09/17|Open House - 911 Bryan Rd, Brandon, FL|||Branch Events|2011/09/16
2011/09/17|Open House - 7308 E Fowler, Tampa, FL|||Branch Events|2011/09/16
2011/09/24|International Workshop, Grand Opening, and W Region Annual Meeting|Fee: $175|Portland, OR|TTCS USA - Workshop Schedule|2011/09/18
2011/10/05|SE Regional Meeting and Workshop|Fee: $175|St Petersburg|Tampa Bay Area Events|2011/09/18
2011/10/15|Tai Chi Workshop, SE Region Annual Meeting|Fee: $175|St Petersburg, FL|TTCS USA - Workshop Schedule|2011/09/18
2011/10/22|Tai Chi Workshop, NE Region Annual Meeting|Fee: $175|Chicago, IL|TTCS USA - Workshop Schedule|2011/09/18
2011/10/29|Autumn Moon Banquet||Dunedin|Tampa Bay Area Events|2011/09/18
2011/11/04|Intensive - Tai Chi|Fee: $35 (includes lunch)\nTeam: Jean Swantish/Sid Gates|Brandon|Tampa Bay Area Events|2011/09/18
2011/11/09|International Workshop|Fee: $175|Tallahassee, FL|TTCS USA - Workshop Schedule|2011/09/18
2011/11/09|IIW CIT Weekend||Tallahassee|Tampa Bay Area Events|2011/09/18
2011/11/12|TTCS USA Annual Meeting||Tallahassee, FL|TTCS USA - Workshop Schedule|2011/09/18
2011/11/12|CIT Weekend|Fee: $100|Tallahassee, FL|TTCS USA - Workshop Schedule|2011/09/18
2011/11/12|USA Annual Meeting||Tallahassee|Tampa Bay Area Events|2011/09/18
2011/12/03|Fung Loy Kok Weekend, Immortal Lu Shrine Opening|Fee: $175|Sarasota, FL|TTCS USA - Workshop Schedule|2011/09/18
2011/12/03|Tai Chi Workshop|Fee: $175|New York City, NY|TTCS USA - Workshop Schedule|2011/09/18
2011/12/03|Shrine Opening and Workshop|Fee: $175|Sarasota|Tampa Bay Area Events|2011/09/18
2011/12/10|Holiday Party|||Branch Events|2011/10/11
2011/12/17|Tea and Cookies in Temple Terrace||10919 N 56th Street, Temple Terrace, FL 33617|Branch Events|2011/12/17
2012/01/07|Open House - Temple Terrace||7308 East Fowler Avenue, Tampa, FL 33617|Branch Events|2011/12/17
2012/01/07|Open House - Brandon||911 Bryan Road, Brandon, FL 33511|Branch Events|2011/11/28
2012/01/07|Chinese New Year's Banquet|Fee: $35|Toronto, Canada|TTCS USA - Workshop Schedule|2012/01/03
2012/01/14|International Workshop and First Anniversary||Dunedin, Florida|TTCS USA - Workshop Schedule|2012/01/03
2012/02/11|First Half of Lok Hup Weekend Workshop|Fundraising for the Brandon Renovation\nFee: $300|Portland, OR|TTCS USA - Workshop Schedule|2012/01/03
2012/02/18|Tai Chi Workshop|Fee: $175|Columbus, OH|TTCS USA - Workshop Schedule|2012/01/03
2012/03/07|International Instructor Workshop|Fee:\n$500 week   \n$175 weekend|Tallahassee, FL|TTCS USA - Workshop Schedule|2012/01/03
2012/03/10|Chinese New Year's Banquet|Fee: $30|Tallahassee, FL|TTCS USA - Workshop Schedule|2012/01/03
2012/03/24|Tai Chi Workshop and First Anniversary|Fee: $175|Fairbanks, AK|TTCS USA - Workshop Schedule|2012/01/03
2012/04/21|Tai Chi Sword Workshop|Fee: $300|Montgomery, AL|TTCS USA - Workshop Schedule|2012/01/03
2012/04/21|Sarasota Intensive|Suggested donation: $25|Sarasota, FL|Tampa Bay Area Events|2012/04/09
2012/04/28|Beginning Instructor Module|$25|911 Bryan Road, Brandon, FL 33511|Branch Events|2012/04/09
2012/05/04|Classes Cancelled - Brandon Branch|||Branch Events|2012/05/03
2012/05/05|Open House - Temple Terrace|<a href="http://brandon.florida.usa.taoist.org/assets/pdf/2012-05-05-openhouse.pdf">Download the flyer</a>|10919 N 56th Street, Temple Terrace, FL 33617|Branch Events|2012/05/03
2012/05/05|Open House - Brandon|<a href="http://brandon.florida.usa.taoist.org/assets/pdf/2012-05-05-openhouse.pdf">Download the flyer</a>|911 Bryan Road, Brandon, FL 33511|Branch Events|2012/05/03
2012/05/06|Mother's Day Banquet|$25|4101 S. Lockwood Ridge Rd Sarasota, FL 34231|Tampa Bay Area Events|2012/05/02
2012/05/25|Re-Opening Ceremony - Brandon|||Branch Events|2012/04/09
2012/05/26|International Workshop and Grand Opening|Fee: $175. <a href="http://brandon.florida.usa.taoist.org/assets/pdf/2012-05-25-registration-form.pdf">Download the registration form here</a>.|911 Bryan Road, Brandon, FL 33511|TTCS USA - Workshop Schedule|2012/05/03
2012/06/23|International Tai Chi Workshop|Fee: $175|Denver, CO|TTCS USA - Workshop Schedule|2012/01/03
2012/07/07|Tai Chi Workshop and Grand Opening|Fee: $175|Ithaca, NY|TTCS USA - Workshop Schedule|2012/01/03
2012/08/05|CIT Week||ITTCS Center|TTCS USA - Workshop Schedule|2012/01/03
2012/08/09|International Awareness Day||Toronto, Canada|TTCS USA - Workshop Schedule|2012/01/03
2012/08/12|Lunch served by Joe and Mary Crossfield|||Branch Events|2012/08/05
2012/08/24|All Souls Festival in Tallahassee||Tallahassee|Branch Events|2012/08/05
2012/08/25|Instructor's Intensive in Sarasota|Suggested donation is $25.|Sarasota|Tampa Bay Area Events|2012/08/05
2012/09/08|Open House - Temple Terrace||10919 N 56th Street, Temple Terrace, FL 33617|Branch Events|2012/08/05
2012/09/08|Open House - Brandon||911 Bryan Road, Brandon, FL 33511|Branch Events|2012/08/05
2012/09/15|Awareness Day and Open House in Tallahassee||Tallahassee|Branch Events|2012/08/05
2012/09/22|International Workshop, First Anniversary and W Region Annual Meeting|Fee: $175|Portland, OR|TTCS USA - Workshop Schedule|2012/01/03
2012/10/06|Autumn Banquet - Dunedin||Dunedin|Tampa Bay Area Events|2012/08/05
2012/10/13|Tai Chi Workshop, SE Region Annual Meetinh|Fee: $175|St. Petersburg, FL|TTCS USA - Workshop Schedule|2012/01/03
2012/10/20|Instructor Class|$5 donation for lunch would be appreciated.|911 Bryan Road, Brandon, FL 33511|Branch Events|2012/10/17
2012/10/20|Tai Chi Workshop, NE Region Annual Meeting|Fee: $175|Chicago, IL|TTCS USA - Workshop Schedule|2012/01/03
2012/11/02|Daytime Intensive|Intensive: $25, Intensive + Lunch: $35|911 Bryan Road, Brandon, FL 33511|Branch Events|2012/10/17
2012/11/07|International Workshop|Fee: $175|Tallahassee, FL|TTCS USA - Workshop Schedule|2012/01/03
2012/11/10|TTCS USA Annual Meeting||Tallahassee, FL|TTCS USA - Workshop Schedule|2012/01/03
2012/11/10|CIT Weekend|Fee: $175|Tallahassee, FL|TTCS USA - Workshop Schedule|2012/01/03
2012/12/01|First Half of Lok Hup Weekend and Shrine Opening|Fee: $175|Miami, FL|TTCS USA - Workshop Schedule|2012/10/17
2012/12/03|Reenlivening of the Immortal Lu shrine - Brandon|||Branch Events|2012/12/03
2012/12/03|Intensive - Sarasota|Lead by Sean Dennison and Marsh Eberhardt. Cost is $25.|4101 S. Lockwood Ridge Rd Sarasota, FL 34231|Tampa Bay Area Events|2012/12/03
2012/12/04|Intensive - Dunedin|Lead by Sean Dennison and Marsh Eberhardt. Cost is $25.|1370 Main Street, Dunedin, Florida 34698|Tampa Bay Area Events|2012/12/03
2012/12/08|Tai Chi Workshop - New York, NY|Fee: $175|New York City, NY|TTCS USA - Workshop Schedule|2012/12/03
2012/12/09|Holiday Bash!|Get the <a href="http://brandon.florida.usa.taoist.org/assets/pdf/2012-12-09-holiday-party.pdf">flyer here</a>. Cost is $10 per person.||Branch Events|2012/12/03
2013/01/12|Open House - Temple Terrace|Get the <a href="http://brandon.florida.usa.taoist.org/assets/pdf/2013-01-13-openhouse.pdf">flyer here</a>.|10919 N 56th Street, Temple Terrace, FL 33617|Branch Events|2012/12/16
2013/01/12|Open House - Brandon|Get the <a href="http://brandon.florida.usa.taoist.org/assets/pdf/2013-01-13-openhouse.pdf">flyer here</a>.|911 S. Bryan Rd. Brandon, FL 33511|Branch Events|2012/12/16
2013/01/19|Tai Chi Workshop - Dunedin|Flyers: <a href="http://dunedin.florida.usa.taoist.org/pdf/20130120wsFlyer.pdf">General Information</a>, <a href="http://dunedin.florida.usa.taoist.org/pdf/20130120wsInfo.pdf">Travel Information</a>, <a href="http://dunedin.florida.usa.taoist.org/pdf/20130120wsRegistration.pdf">Registration Form</a>.|1370 Main Street, Dunedin, Florida 34698|Tampa Bay Area Events|2012/12/03
2013/01/21|Beginners Graduation Intensive and Lunch|Cost: $30.  Flyer: <a href="http://dunedin.florida.usa.taoist.org/pdf/20130121IntensiveFlyer.pdf">http://dunedin.florida.usa.taoist.org/pdf/20130121IntensiveFlyer.pdf</a>|1370 Main Street, Dunedin, Florida 34698|Tampa Bay Area Events|2013/01/05
2013/02/09|Tai Chi Intensive||4101 S. Lockwood Ridge Rd Sarasota, FL 34231|Tampa Bay Area Events|2013/01/05
2013/02/10|Tai Chi in the Park|Come join us for a couple of Tai Chi sets with Mother Nature and bring something (fruit, bagels, donuts, muffins, coffee, juice, etc.) to share. A <a href="http://brandon.florida.usa.taoist.org/assets/pdf/2013-02-10-inthepark.pdf">flyer is avaialble</a>.|Lettuce Lake Park, 6920 E. Fletcher Ave, Tampa, Florida|Tampa Bay Area Events|2013/01/18
2013/02/17|Chinese New Year banquet||1811 Dr. MLK Jr. Street North  St. Petersburg, FL 33704|Tampa Bay Area Events|2013/01/05
2013/03/09|Instructor Class|Lunch: $5|911 Bryan Rd, Brandon, FL|Branch Events|2013/03/05
2013/03/13|International Instructor Workshop|Cost: $600 wk, $175 weekend|Tallahassee, FL|TTCS USA - Workshop Schedule|2013/01/05
2013/03/16|Chinese New Year's Banquet||Tallahassee, FL|TTCS USA - Workshop Schedule|2013/01/05
2013/03/23|Tai Chi Intensive at St Pete||1811 Dr. MLK Jr. (9th)Street North  St. Petersburg, FL 33704|Tampa Bay Area Events|2013/03/05
2013/03/24|Sip & Savor at Sarasota|Fine wines, gourmet chocolates and cheeses, and witty repartee are promised.|4101 S. Lockwood Ridge Rd Sarasota, FL 34231|Tampa Bay Area Events|2013/03/05
2013/03/29|Breakfast!||911 S. Bryan Rd. Brandon, FL 33511|Branch Events|2013/03/05
2013/04/06|Road Cleanup|||Branch Events|2013/03/05
2013/04/06|Beginner Instructor Module|$25|4101 S. Lockwood Ridge Rd Sarasota, FL 34231|Tampa Bay Area Events|2013/03/05
2013/04/14|Tai Chi In The Park||Lettuce Lake Park|Branch Events|2013/04/12
2013/04/20|Road Cleanup|||Branch Events|2013/04/12
2013/05/04|Open House at Temple Terrace|<a href="http://brandon.florida.usa.taoist.org/assets/pdf/2013-05-04-openhouse.pdf">Download the flyer!</a>|10919 N 56th Street, Temple Terrace, FL 33617|Branch Events|2013/04/13
2013/05/04|Open House at Brandon|<a href="http://brandon.florida.usa.taoist.org/assets/pdf/2013-05-04-openhouse.pdf">Download the flyer!</a>|911 Bryan Rd, Brandon, FL 33511|Branch Events|2013/04/13
2013/05/05|Tai Chi Intensive|On Sunday, May 5, Sarasota will be hosting a tai chi intensive from 9 am to noon.  This will be led by Sean Dennison and Karen Laughlin, so there will be no class or chanting in Brandon that morning.  Instructors and set leaders are expected to attend, whenever possible, a local intensive led by an international instructor and we’ve been told protocol is to cancel classes so this can occur.  The branch will hold their Branch Annual Meeting immediately after, then will begin to set up for the Mother’s Day banquet from 1 to 4 pm.  RSVP for the banquet by April 22.  The intensive is $25 and the banquet tickets are $25 each.|4101 S. Lockwood Ridge Rd Sarasota, FL 34231|Tampa Bay Area Events|2013/04/14
2013/05/05|Mother's Day Banquet|Tickets: $25|Sarasota, FL|Tampa Bay Area Events|2013/04/12
